标准答案,题干,选项A,选项B,选项C,选项D,选项E,,,
C,起病隐缓，病程较长，反复发作，或缠绵难愈为湿邪哪方面致病特点,湿为阴邪，易伤阳气,湿为阴邪，湿性重浊,湿性黏滞，易阻气机,湿性趋下，易袭阴位,湿邪为患，其性重浊,,,
A,“髓之海”指的是,脑,脊柱,骨,脉,胆,,,
C,内生“五邪”包括,内风、内暑、内湿、内燥、内火,内风、内寒、内暑、内燥、内火,内风、内寒、内湿、内燥、内火,内风、内寒、内湿、内暑、内热,内风、内寒、内湿、内燥、内暑,,,
D,《素问·宣明五气》中说法错误的是,久立伤骨,久行伤筋,久卧伤气,久坐伤精,久视伤血,,,
C,过怒影响下列哪种功能,呼吸功能,藏血功能,疏泄功能,纳气功能,运化功能,,,
B,与血液的运行密切相关的脏腑,心、肺、肾、脾,心、肺、肝、脾,心、肾、肝、脾,心、肺、肝、肾,肾、肺、肝、脾,,,
C,气血两虚病变多见的脏腑是,心与肺,心与肾,心与脾,脾与胃,肺与肝,,,
C,“寒者热之”治则，所体现的阴阳关系是,阴阳交感,阴阳互根,阴阳对立,阴阳消长,阴阳转化,,,
C,阴气不足，可见于五脏六腑，其最主要的是,心阴虚,脾阴虚,肾阴虚,胃阴虚,肝阴虚,,,
E,疾病后期，或遗留某些后遗症的病机是,正盛邪退,邪去正虚,邪盛正虚,邪正交争,正虚邪恋,,,
D,来源于脾胃所化生的水谷之精微的是,营气和元气,卫气和宗气,宗气和元气,卫气和营气,宗气和营气,,,
D,下列各项中，手足与阴阳经匹配错误的是,手阳明大肠经,手少阴心经,足厥阴肝经,足少阴胆经,足太阴脾经,,,
E,经别的生理功能叙述错误的是,加强十二经脉表里两经在体内的联系,加强体表与体内、四肢与躯干的向心性联系,加强了十二经脉和头面部的联系,扩大十二经脉的主治范围,加强足三阴、足三阳经脉与肝脏的联系,,,
D,风邪的致病特点是,易伤气血,易伤津液,易伤阳气,易袭阳位,易致肿疡,,,
C,所谓“得气”，体现的经络功能是,沟通联络作用,运输渗透作用,感应传导作用,调节平衡作用,运行气血作用,,,
D,大怒易损伤的脏腑是,心,脾,肾,肝,肺,,,
E,颈脉怒张多见于,心血瘀阻,肺气壅滞,心肾阳衰,水气凌心,以上均是,,,
B,嗳气频作而响亮，嗳气后脘腹胀减多为,宿食内停,肝气犯胃,胃阳亏虚,胃虚气逆,热邪客胃,,,
A,亡阳证的临床表现是,冷汗、肢厥、面白、脉微,头身疼痛，鼻塞或喷嚏,咳喘、心悸、腹痛、呕泻,咽干、五心烦热、脉细数,身灼烦渴、唇焦面赤、脉数疾、汗出如油,,,
E,以常衡变主要指的是,将病人与其所处环境结合起来综合地判断病情,四诊并重，诸法参用，综合收集病情资料,通过诊察其反映于外部的现象，揣测内在的变动,通过微小的变化，测知整体的情况,在认识正常的基础上，发现太过、不及的异常变化,,,
D,新病恶寒的临床表现错误的是,四肢不温,咳喘痰鸣,脘腹肢体冷痛,舌淡胖嫩,呕吐泄泻,,,
D,下列不属于舌颤动病因的是,肝阳化风,热极生风,酒毒所伤,心脾有热,气血两虚,,,
B,下列各项中，不是血虚证临床表现的是,头晕眼花,心烦易怒,面色淡白,肢体麻木,经少经闭,,,
B,发热为午后夜间低热，其病机是,阳明腑实,骨蒸潮热,温病入营,湿温内蕴,热邪客表,,,
E,人中满唇反见于,脾胃积热,虚火上炎,心脾积热,燥热伤津,脾气将绝,,,
E,不属于脾虚气陷证临床表现的是,久泄不止,肛门重坠,便意频数,子宫下垂,四肢不温,,,
D,口之形态中口撮可见于,痫病,中风,疟疾发作,小儿脐风,以上都不是,,,
D,《素问·刺热》分候法中，以右颊候,心,肝,脾,肺,肾,,,
B,下列各项中，不属于引起舌象生理变异的因素是,年龄因素的影响,地域因素的影响,女性生理特点的影响,禀赋体质因素的影响,气候、环境因素的影响,,,
C,常见于病人临终前的神态表现是,得神,少神,假神,失神,神气不足,,,
A,属于正常人从出生至死终生基本不变的面色是,主色,客色,善色,恶色,病色,,,
E,下列各项中，属于病理性舌象表现的是,肥胖之人舌多胖大而质淡,老年人舌色较暗红或带紫暗色,消瘦之人舌体偏瘦而舌色偏红,儿童的舌质多淡嫩，舌苔偏少易剥,以上都不是,,,
A,皮肤突然色红成片，如染脂涂丹，灼热肿胀，边界清楚者属于,丹毒,流火,赤游丹,热气疮,抱头火丹,,,
E,伤寒病凡一经病证未罢，又见他经病证者称为,传经,顺传,直中,合病,并病,,,
B,以胃脘胁肋胀满疼痛，嗳气吞酸，情绪抑郁，苔薄黄，脉弦为主要证候表现的是,肝脾不调证,肝胃不和证,肝胆湿热证,肝郁气滞证,胃热炽盛证,,,
A,口渴咽干，鼻干唇燥，秋季多发者属于,燥邪伤津,痰饮内停,瘀血内停,里热炽盛,外感温热病初期,,,
B,下列各项中，多主实热与阴虚的舌色为,绛舌,红舌,紫舌,淡红舌,淡白舌,,,
A,下列异常舌形中，多见于实证的是,老舌,嫩舌,胖舌,瘦舌,齿痕舌,,,
D,肺阴虚证的临床表现不包括,干咳无痰,五心烦热,潮热盗汗,神疲体倦,口燥咽干,,,
A,虚里按之，其动微弱者多属于,宗气内虚,心阳不足,心肺气绝,宗气不守,外感热邪,,,
A,身重兼脘闷苔腻者，多因,湿困脾阳,水湿泛溢,脾气虚,脾肾阳虚,食滞胃脘,,,
A,具有润肺止咳，散结消痈功效的药物是,川贝母,旋覆花,百部,杏仁,桔梗,,,
C,下列药物中不属于配伍禁忌的是,藜芦与赤芍,川贝母与川乌,硫黄与厚朴,水银与砒霜,肉桂与赤石脂,,,
E,具有凉血解毒功效的药物是,芒硝,菊花,火麻仁,桃仁,大黄,,,
C,下列具有清热利湿退黄功效的药物是,苏木,姜黄,虎杖,牛膝,丹参,,,
C,五加皮具有的功效是,安胎,和胃,利水,通便,凉血,,,
C,下列药物中既能收敛固涩，益气生津，又能宁心安神的为,五倍子,黄精,五味子,补骨脂,龟甲,,,
A,发热腹痛，里急后重，大便有脓血，舌质红，脉滑数。治疗宜首选,黄连、木香,黄柏、木香,苦参、木香,马齿苋、木香,黄芩、木香,,,
A,治疗咳嗽痰多，痈疽疮毒，宜首选的药物是,远志,琥珀,苏合香,蒲黄,虎杖,,,
A,具有清热解毒，凉血，消肿功效的药物是,紫花地丁,鱼腥草,穿心莲,青黛,蒲公英,,,
B,牵牛子的功效是,泻水逐饮，消肿散结,泻下通便，消痰涤饮,峻下冷积，逐水退肿,祛痰利咽，外用蚀疮,润肠通便，润肺止咳,,,
B,大腹皮的功效是,理气和中，燥湿化痰,行气宽中，利水消肿,疏肝解郁，行气散结,消食化积，行气散瘀,燥湿消痰，下气除满,,,
E,功效为活血调经，利尿消肿，清热解毒的药物是,泽兰,红花,蒲公英,败酱草,益母草,,,
A,属于滑石功效的是,清热解暑,清热凉血,清肺化痰,清肝明目,清热除痹,,,
B,善于清中焦湿热的药物是,黄芩,黄连,黄柏,苦参,龙胆草,,,
B,下列药物中为治头痛之要药的是,郁金,川芎,乳香,没药,延胡索,,,
D,下列各项中为治肺气壅遏所致喘咳的要药是,石膏,细辛,辛夷,麻黄,桂枝,,,
E,生地黄与玄参均具有的功效是,清热凉血，活血散瘀,清热凉血，解毒定惊,清热凉血，解毒透疹,清热凉血，泻火解毒,清热凉血，养阴生津,,,
E,蕲蛇的主治病证不包括,梅毒,风麻,破伤风,小儿惊风,脚气水肿,,,
D,牡丹皮与地骨皮均具有的功效是,退虚热，清疳热,清透虚热，解暑,清透虚热，截疟,清热凉血，退虚热,清热凉血，利尿通淋,,,
E,养血安神，祛风通络为下列何药之功效,远志,酸枣仁,柏子仁,合欢皮,首乌藤,,,
D,下列何药属于凉肝、镇肝之要药,龙骨,牡蛎,珍珠母,石决明,代赭石,,,
A,下列何药为治疗跌打损伤、瘀滞肿痛之要药,三七,川芎,红花,桃仁,乳香,,,
C,功效为镇惊安神、平肝潜阳、收敛固涩的药物是,朱砂,磁石,龙骨,琥珀,远志,,,
E,功效为消食除胀、降气化痰的药物是,山楂,神曲,麦芽,鸡内金,莱菔子,,,
C,石决明与决明子共有的功效是,平肝潜阳,润肠通便,清肝明目,镇惊安神,收敛固涩,,,
E,下列药物中不具有纳气平喘功效的是,补骨脂,蛤蚧,磁石,沉香,龙骨,,,
E,郁金的主治范围不正确的是,气滞血瘀痛证,热病神昏,血热出血,肝胆湿热,风湿痹痛,,,
A,巴豆霜入丸散剂常用剂量是,0.1～0.3g,0.3～0.5g,1～2g,3～5g,0.5～2g,,,
A,玄参的功效是,清热凉血，泻火解毒，滋阴,清热凉血，养阴生津,清热凉血，活血祛瘀,清热凉血，散瘀止痛,清热凉血，解毒透疹,,,
D,治疗风寒感冒兼脾胃气滞，胸闷呕吐者，宜首选的药物是,防风,香薷,苍术,紫苏,厚朴,,,
A,太阳病，关节疼痛而烦，脉沉而细，此名,湿痹,风寒痹,热痹,风痹,寒痹,,,
D,溢饮的病机是,饮停胸膈,饮停胸胁,饮停胃肠,饮停四肢肌表,饮停膀胱,,,
C,渗湿于热下在辛凉剂中加,麻黄、桂枝,薄荷、牛蒡,芦根、滑石,黄芩、黄柏,金银花、连翘,,,
C,温病治疗中救阴的目的在于,滋养阴血,温补阳气,顾护津液,宣通气机,化气利湿,,,
C,阳明温病，无汗，实证未剧，不可下。小便不利者，甘苦合化，选方为,白虎汤,竹叶石膏汤,冬地三黄汤,黄连解毒汤,犀角地黄汤,,,
D,黄疸发病常责于,卫分,气分,营分,血分,以上均非,,,
B,下列属于正治法的是,热因热用,寒者热之,寒因寒用,塞因塞用,通因通用,,,
A,《灵枢.决气》中提到的六气为,精、气、津、液、血、脉,气、津、液、血、脉、骨,精、津、液、血、脉、骨,津、液、血、脉、骨、肉,精、气、津、肉、血、脉,,,
E,患者，男，32岁，工地施工期间导致腹部刺伤，大量出血，现突然面色苍白，大汗淋漓，四肢厥冷，呼吸微弱，舌淡，见芤脉，其证属,气虚血瘀证,气血两虚证,气不摄血证,气滞血瘀证,气随血脱证,,,
A,患者，男，64岁，近半个月出现狂躁妄动，打人毁物，不避亲疏，胡言乱语；伴有发热，口渴，气粗，咯吐黄痰，喉间痰鸣，心烦失眠，舌质红，苔黄腻，脉滑数。其证属,痰火扰神证,痰蒙心神证,心火亢盛证,瘀阻脑络证,痰阻心脉证,,,
C,患者，男，34岁，近一周时间出现咳嗽，痰多色白、质稠易咯，伴胸闷，恶寒，肢冷，舌质淡，苔白腻，脉弦。其证属,风寒犯肺证,饮停胸胁证,寒痰阻肺证,肺气虚证,肺阴虚证,,,
C,患者，男，42岁，现症见胃脘隐痛，按之觉舒，食欲不振，面色萎黄，气短懒言，神疲倦怠，舌质淡，苔薄白，脉弱。其证属,胃阳虚证,胃阴虚证,胃气虚证,脾气虚证,脾阳虚证,,,
C,患者，男，39岁，现症见气短伴喘咳，咳嗽无力，呼多吸少，吐痰清稀，声低，乏力自汗，伴耳鸣，腰膝酸软，时常尿随咳出，舌淡紫，脉弱。其证属,心肺气虚证,脾肺气虚证,肺肾气虚证,寒痰阻肺证,饮停胸胁证,,,
A,肝火犯肺证的治法是,佐金平木法,抑木扶土法,滋水涵木法,培土生金法,泻南补北法,,,
B,肝脾不和的治法是,佐金平木法,抑木扶土法,滋水涵木法,培土生金法,泻南补北法,,,
A,属于夏季用药慎用温热的理论依据的是,因时制宜,因地制宜,治病求本,祛除邪气,因人制宜,,,
E,属于阴盛之体慎用寒凉的理论依据是,因时制宜,因地制宜,治病求本,祛除邪气,因人制宜,,,
D,被称为十二经脉之海的是,任脉,督脉,带脉,冲脉,阴维脉,,,
A,与女子妊娠密切相关的经脉,任脉,督脉,带脉,冲脉,阴维脉,,,
B,六淫邪气中，最易伤肺的是,火,燥,暑,寒,风,,,
C,具有明显季节性的邪气是,火,燥,暑,寒,风,,,
E,五体中与肾脏相合的是,脉,皮,肉,筋,骨,,,
B,五体中与肺脏相合的是,脉,皮,肉,筋,骨,,,
A,根据《素问?宣明五气》所说，“久行”可伤的是,筋,骨,气,肉,脉,,,
D,根据《素问?宣明五气》所说，“久坐”可伤的是,筋,骨,气,肉,脉,,,
A,肝病日久，两胁胀满疼痛，并见舌质瘀斑、瘀点。其病机是,气滞血瘀,气不摄血,气随血脱,气血两虚,气血失和,,,
C,产后大出血，继则冷汗淋漓，甚则晕厥。其病机是,气滞血瘀,气不摄血,气随血脱,气血两虚,气血失和,,,
E,胸闷气喘，少气不足以息者多为,心气虚,脾肺气虚,心肺气虚,肾气不固,肺肾气虚,,,
C,久病咳喘，胸闷心悸，神疲乏力，自汗声低，舌淡脉弱，其证候是,心气虚,脾肺气虚,心肺气虚,肾气不固,肺肾气虚,,,
A,精神极度疲惫，神识朦胧，困倦欲睡，肢冷脉微者，多见于,心肾阳衰,脾气虚弱,胆郁痰扰,食滞内停,痰湿困脾,,,
B,饭后神疲困倦易睡，兼食少纳呆，少气乏力者，多见于,心肾阳衰,脾气虚弱,胆郁痰扰,食滞内停,痰湿困脾,,,
B,以发热口渴，喉间痰鸣，心烦失眠，面赤、舌红苔黄腻，脉滑数为主要临床表现的证候是,胆郁痰扰证,痰火扰神证,瘀阻脑络证,心阴虚证,痰蒙心神证,,,
A,以胆怯易惊，失眠多梦、烦躁不安，头晕目眩，舌淡红，苔白腻，脉弦缓为主要临床表现的证候是,胆郁痰扰证,痰火扰神证,瘀阻脑络证,心阴虚证,痰蒙心神证,,,
C,与明堂对应的是,前额,眉间,鼻,颊侧,耳门,,,
A,与庭、颜对应的是,前额,眉间,鼻,颊侧,耳门,,,
A,卧时常向外属,阳证,气虚证,虚寒证,阴虚证,血虚证,,,
C,蜷卧缩足喜加衣被属,阳证,气虚证,虚寒证,阴虚证,血虚证,,,
D,心悸兼面色无华，舌淡脉细者多为,心胆气虚,心脾两虚,胆郁痰扰,心血不足,肾虚水泛,,,
B,心悸伴见头晕目眩，纳差乏力，舌淡，脉细弱者多为,心胆气虚,心脾两虚,胆郁痰扰,心血不足,肾虚水泛,,,
C,上焦病证的病位是在,肺与大肠,肝胆脾胃,肺与心包,脾、胃,肝与肾,,,
D,中焦病证的病位是在,肺与大肠,肝胆脾胃,肺与心包,脾、胃,肝与肾,,,
B,胸胁灼痛，急躁易怒，咳嗽咯血，脉弦数，辩证是,肺阴虚,肝火犯肺,痰热雍肺,燥邪犯肺,肺热炽盛,,,
E,胸痛，鼻息灼热，发热口渴，咳嗽气粗，脉洪数，辩证是,肺阴虚,肝火犯肺,痰热雍肺,燥邪犯肺,肺热炽盛,,,
B,既能杀虫止痒燥湿，又能温肾壮阳的药物是,白鲜皮,蛇床子,山茱萸,土茯苓,秦皮,,,
D,既能治疗梅毒，又能治疗湿热疮毒的药物是,白鲜皮,蛇床子,山茱萸,土茯苓,秦皮,,,
B,中风痰迷，失眠健忘，宜选用的药物是,竹沥,石菖蒲,冰片,牛黄,附子,,,
D,中风痰迷，心肝有热，宜选用的药物是,竹沥,石菖蒲,冰片,牛黄,附子,,,
D,既能祛风湿，又能温经止痛的药物是,秦艽,防己,狗脊,川乌,独活,,,
A,既能祛风湿，又能退虚热的药物是,秦艽,防己,狗脊,川乌,独活,,,
E,阿胶的主治病证是,既能治疗血虚证，又能治疗遗精盗汗证,既能治疗血虚证，又能治疗胁肋脘腹疼痛,既能治疗血虚证，又能治疗痈疽疮疡证,既能治疗血虚证，又能治疗虚劳喘咳证,既能治疗血虚证，又能治疗出血证,,,
B,白芍的主治病证是,既能治疗血虚证，又能治疗遗精盗汗证,既能治疗血虚证，又能治疗胁肋脘腹疼痛,既能治疗血虚证，又能治疗痈疽疮疡证,既能治疗血虚证，又能治疗虚劳喘咳证,既能治疗血虚证，又能治疗出血证,,,
D,具有利尿通淋，解毒消肿功效的药物是,萆薢,虎杖,地肤子,金钱草,茵陈蒿,,,
B,具有利湿退黄，散瘀止痛功效的药物是,萆薢,虎杖,地肤子,金钱草,茵陈蒿,,,
A,功效具有行气止痛、温肾散寒的药物是,乌药,沉香,薤白,木香,川楝子,,,
B,功效具有行气止痛、纳气平喘的药物是,乌药,沉香,薤白,木香,川楝子,,,
D,患者妊娠3月，出现胃脘冷痛，腹胀吐泻，首选药物是,艾叶,紫苏,藿香,砂仁,白豆蔻,,,
B,患者妊娠3月，出现恶寒发热，胸闷欲呕，首选药物是,艾叶,紫苏,藿香,砂仁,白豆蔻,,,
C,既能收敛止血，又能截疟的药物是,地榆,侧柏叶,仙鹤草,棕榈炭,血余炭,,,
E,既能收敛止血，又能利尿的药物是,地榆,侧柏叶,仙鹤草,棕榈炭,血余炭,,,
A,其脉自浮，外证骨节疼痛，为,风水,皮水,正水,石水,黄汗,,,
E,其脉沉迟，身发热，为,风水,皮水,正水,石水,黄汗,,,
A,具有健脾补肾，益气摄血功用的方剂是,固冲汤,归脾汤,四物汤,黄土汤,固经丸,,,
E,小柴胡汤的组成药物中不含有的是,黄芩,柴胡,大枣,人参,干姜,,,
A,下列各项，属天王补心丹组成药物的是,丹参,苦参,西洋参,党参,沙参,,,
B,咳血方与小蓟饮子中均含有,生地黄,栀子,滑石,青黛,甘草,,,
E,半夏厚朴汤的主治病证是,喑痱,脏毒,脏躁,肠风,梅核气,,,
E,归脾汤除益气补血外，还具有的功用是,补血调血,敛阴止汗,滋阴复脉,益阴降火,健脾养心,,,
A,大建中汤的组成药物是,蜀椒、人参、干姜、胶饴,蜀椒、人参、干姜、炙甘草,干姜、肉桂、生附子、炙甘草,人参、干姜、桂枝、胶饴,蜀椒、生附子、肉桂、胶饴,,,
E,健脾丸的组成，不含有的药物是,木香、神曲,人参、白术,陈皮、茯苓,山药、肉豆蔻,黄芩、薏苡仁,,,
E,理中丸的组成药物中不含有,干姜,人参,白术,炙甘草,附子,,,
C,温经汤的君药是,当归、肉桂,当归、吴茱萸,吴茱萸、桂枝,当归、桂枝,当归、川芎,,,
B,大定风珠的组成药物中含有,桃仁,麻仁,杏仁,郁李仁,柏子仁,,,
C,芍药汤与白头翁汤的组成中，均含有的药物是,黄柏,黄芩,黄连,大黄,秦皮,,,
D,白头翁汤的功效是,清热解毒，消痈排脓,清热解毒，燥湿止痢,清热解毒，涩肠止痢,清热解毒，凉血止痢,清热解毒，益阴止痢,,,
E,组成药物中含有桂枝的方剂是,芍药汤,暖肝煎,阳和汤,地黄饮子,乌梅丸,,,
E,下列哪项是当归补血汤的主治证候,劳倦内伤,营血虚滞,郁怒伤肝,阴精亏虚,血虚发热,,,
B,主治下焦虚寒之膏淋、白浊的方剂为,茵陈蒿汤,萆薢分清饮,蒿芩清胆汤,甘露消毒丹,三仁汤,,,
A,主治为脾阳不足，脾不统血证的方剂是,黄土汤,槐花散,四神丸,小蓟饮子,咳血方,,,
E,腹中拘急疼痛，喜温喜按，神疲乏力，虚怯少气，舌淡苔白，脉细弦者，治宜选用,四逆散,大柴胡汤,理中丸,清胃散,小建中汤,,,
E,炙甘草汤的组成药物中含有,麦冬、麻仁、当归,生姜、大枣、黄芪,生地、元参、麦冬,阿胶、当归、芍药,生地、阿胶、麦冬,,,
D,苏合香丸主治,热闭证,六郁证,心绞痛,寒闭证,痰热内闭心包证,,,
B,桑菊饮的组成药物除桑叶、菊花外，其余的是,银花、连翘、薄荷、桔梗、甘草、苇根,杏仁、连翘、薄荷、桔梗、甘草、苇根,杏仁、连翘、薄荷、葛根、甘草、苇根,杏仁、连翘、葛根、薄荷、桔梗、甘草,银花、连翘、葛根、薄荷、桔梗、甘草,,,
E,左金丸中黄连与吴茱萸的用量比例为,3:01,4:01,1:01,2:01,6:01,,,
A,吴茱萸汤中吴茱萸的作用是,温胃暖肝，降逆止呕,温中补虚，和胃止呕,疏肝解郁，和胃止呕,温肾暖肝，降逆止呕,温中补虚，疏肝解郁,,,
C,治疗咳嗽呛急，咯痰不爽，涩而难出，咽喉干燥哽痛，苔白而干，选方为,温胆汤,二陈汤,贝母瓜蒌散,清气化痰丸,半夏白术天麻汤,,,
D,四逆汤的组成药物为,当归、桂枝、炙甘草,肉桂、附子、炙甘草,吴茱萸、生姜、炙甘草,干姜、生附子、炙甘草,人参、干姜、炙甘草,,,
A,咳唾胸胁引痛，心下痞硬，干呕短气，头痛目眩，胸背掣痛不得息，舌苔滑，脉沉弦者，方用,十枣汤,实脾散,真武汤,苓桂术甘汤,五苓散,,,
D,组成药物中含有熟地黄、官桂的方剂是,一贯煎,肾气丸,暖肝煎,地黄饮子,炙甘草汤,,,
C,当归补血汤中当归和黄芪的配伍比例为,1:04,4:01,1:05,5:01,6:01,,,
E,炙甘草汤的药物组成中不含有,人参,大枣,麦冬,阿胶,当归,,,
A,葛根黄芩黄连汤的组成为,葛根、炙甘草、黄芩、黄连,柴胡、黄芩、芍药、半夏,防风、荆芥、连翘、麻黄,石膏、黄芩、桔梗、甘草,人参、白术、茯苓、炙甘草,,,
B,治疗外感风寒，郁而化热证的方剂是,九味羌活汤,柴葛解肌汤,麻杏甘石汤,银翘散,导赤散,,,
E,主治壮热面赤、汗出恶热的首选方剂是,竹叶石膏汤,羚角钩藤汤,黄连解毒汤,清营汤,白虎汤,,,
E,肝硬化轻度腹水患者的治疗首选,氢氯噻嗪,呋塞米,甘露醇,利尿酸钠,螺内酯,,,
A,甲亢最严重的临床表现为,甲状腺危象,甲亢性肌病,甲亢性心脏病并房颤,浸润性突眼,重症肌无力,,,
D,有关类风湿关节炎关节表现特点的叙述，不正确的是,累及小关节,关节畸形,对称性,游走性,晨僵,,,
E,关于哮喘持续状态的危重哮喘的处理，下列哪项是错误的,静滴地塞米松,补充水、电解质,纠正酸中毒,吸氧,口服氨茶碱,,,
E,下列哪项是慢性肾小球肾炎治疗的目标,消除蛋白尿,消除血尿,治疗贫血,消除管型尿,防止或延缓肾功能进行性减退,,,
B,特发性全面强直—阵挛发作时间偏长者可肌注的药物是,乙琥胺,苯巴比妥,丙戊酸钠,卡马西平,苯妥英钠,,,
B,具有扩张血管特别是扩张肾小动脉作用的正性肌力药是,多巴酚丁胺,多巴胺,肾上腺素,硝普钠,硝酸甘油,,,
B,慢性肺心病的首要死亡原因是,消化道出血,肺性脑病,酸碱失衡,电解质紊乱,心律失常,,,
D,慢性肺心病患者普遍存在的酸碱失衡是,呼吸性碱中毒,呼吸性酸中毒合并代谢性碱中毒,代谢性酸中毒,呼吸性酸中毒,代谢性碱中毒,,,
B,肺炎链球菌肺炎胸部X线早期仅见,多数阴影需6周才完全吸收,肺纹理增粗、紊乱,早期可见病变部位的密度均匀影,肺实变期呈叶、段状密度均匀影,消散期阴影密度逐渐升高,,,
E,癫痫失神发作，可选择的药物是,卡马西平,苯妥英钠,苯巴比妥,强的松,丙戊酸钠,,,
C,诊断类风湿关节炎，X线检查最有价值的部位是,双侧肘关节,双侧肩关节,双手指及腕关节,双侧踝关节,双侧膝关节,,,
C,原发性肝癌最常见的表现是,进行性肝肿大,脾肿大、黄疸,肝区疼痛,食欲不振,恶心呕吐,,,
A,高血压性脑出血最常见的诱发因素为,情绪激动或过度用力,高脂血症,外伤,感染,电解质紊乱,,,
E,不属缺铁性贫血的骨随象表现是,幼红细胞增生,骨髓增生活跃,血红蛋白形成不良,铁粒幼红细胞消失,原粒细胞达5%以上,,,
A,以下不属于有效心脏复苏指征为：,神志清晰,意识恢复,瞳孔回缩,皮肤色泽改善,出现自主呼吸,,,
E,造成甲状腺功能减退的最主要的原因是,促甲状腺激素缺乏,甲状腺不发育或发育不全,甲状腺合成过程中酶的缺乏,碘缺乏,自身免疫性损伤,,,
E,引起短暂性脑缺血发作的主要病因为,脑血管瘤,动脉狭窄,器质性心脏病,血液成分异常,动脉粥样硬化,,,
E,下列属于中枢性瘫痪的特点是,肌张力降低,腱反射减弱,肌束震颤明显,不出现病理反射,无肌束颤动,,,
D,脊髓损伤引起的腹肌瘫痪特点为,板状腹,触之如揉面感,腹部紧张度减弱,腹部紧张度消失,腹部触之柔软,,,
B,持续性胸痛常由下列疾病引起，但除外,急性心包炎,心绞痛,肺栓塞,胸膜炎,肺炎,,,
C,下列除哪项外均会引起高钾血症,严重溶血,大量注射钾盐,代谢性碱中毒,慢性肾衰竭,大面积烧伤,,,
A,可引起混合性呼吸困难的疾病是,重症肺炎,支气管异物,肺气肿,支气管哮喘,急性喉炎,,,
B,显性黄疸的诊断标准是总胆红素,超过51.3μmol/L,超过34.2μmol/L,超过17.1μmol/L,超过8.55μmol/L,超过1.73μmol/L,,,
D,引起痰分层现象的疾病是,肺炎链球菌肺炎,心源性哮喘,慢性支气管炎,肺脓肿,肺结核,,,
A,下列关于腋测法体温测量的描述，正确的是,优点是安全、方便，不易交叉感染,因是测量体外温度，因此结果不可靠,放置腋窝深处，测量5分钟读数,寒冷季节可以隔薄衣测量,正常值为35℃～37℃,,,
B,使肺动脉瓣、二尖瓣、三尖瓣关闭不全的杂音更明显的体位是,坐位,仰卧位,平卧位,左侧卧位,右侧卧位,,,
A,腰椎间盘脱出所致的坐骨神经痛的体征是,拉塞格征阳性,霍夫曼征阳性,戈登征阳性,克匿格征阳性,查多克征阳性,,,
C,主动脉瓣狭窄，可出现的体征是,心尖部舒张期震颤,胸骨右缘第2肋间舒张期震颤,胸骨右缘第2肋间收缩期震颤,胸骨左缘第2肋间收缩期震颤,胸骨左缘第2肋间舒张期震颤,,,
E,引起血清总蛋白及白蛋白减少的疾病是,多发性骨髓瘤,黑热病,胃溃疡,疟疾,肾病综合征,,,
D,渗出液为炎性积液，形成的主要原因有,糖尿病,高血压,肝硬化,恶性肿瘤,营养不良,,,
D,重症肺结核所见的热型为,间歇热,稽留热,波状热,张弛热,回归热,,,
E,胸痛伴咯血见于,肺炎,肺脓肿,肺梗死,支气管肺癌,以上都是,,,
B,肾源性水肿的主要特点是,呈下垂性水肿,晨起眼睑或颜面水肿,向心性水肿,非凹陷性水肿,黏液性水肿,,,
B,可出现全身淋巴结肿大的疾病为,肺癌,淋巴细胞白血病,急性化脓性扁桃体炎,肺炎球菌性肺炎,再生障碍性贫血,,,
D,急性心肌梗死CK恢复正常是在,发病后4～10小时,发病后12～36小时,发病后12～24小时,发病后72～96小时,发病后72～120小时,,,
D,主要反映远端肾小管和集合管功能状态的敏感试验是,酚红排泌试验,血清尿素氮、血清肌酐测定,内生肌酐清除率测定,莫氏试验,对氨马尿酸盐清除率试验,,,
B,由于溶骨作用增强引起的高钙血症是,佝偻病,多发性骨髓瘤,急性肾衰竭,大量应用维生素D,大量饮用高钙牛奶,,,
B,食管炎的疼痛为,重痛,灼痛,刺痛,闷痛,绞痛,,,
E,青壮年胸痛可能是,结核性胸膜炎,化脓性胸膜炎,自发性气胸,心肌病,以上都是,,,
B,胸痛伴咳嗽、咯痰见于,食管疾病,肺炎、支气管扩张、肺脓肿,肺炎、肺脓肿、肺梗死或支气管肺癌,急性心肌梗死、夹层动脉瘤或大块肺栓塞,肺炎链球菌肺炎、自发性气胸、渗出性胸膜炎,,,
C,急性喉炎患者痰液直接涂片镜检发现增多的细胞是,红细胞,柱状上皮细胞,鳞状上皮细胞,中性粒细胞,脓细胞,,,
E,关于癌症转移引起的淋巴结肿大的特点，错误的是,质地坚硬,表面可光滑或突起,与周围组织粘连,一般没有压痛,活动度好,,,
B,急性重型肝炎时明显增高的酶是,丙氨酸氨基转移酶(ALT),天门冬氨酸氨基转移酶(AST),碱性磷酸酶(ALP),γ-谷氨酰转移酶(γ-GT),乳酸脱氢酶(LDH),,,
C,医学活动中的道德关系不包括,医务人员与患者,医务人员之间的关系,医务人员与医院的关系,医务人员与社会的关系,医务人员与医学发展的关系,,,
B,被尊称为“万婴之母”的医家是,屠呦呦,林巧稚,淳于衍,谈允贤,胡愔,,,
B,医学人道主义的核心内容包括,尊重病人的生命、自由、意愿,尊重病人的生命、人格、权利,尊重病人的人格、尊严、权利,尊重病人的生命、意愿、尊严,尊重病人的权利、人格、自由,,,
