学科,题干,标准答案,选项A,选项B,选项C,选项D,选项E
中医内科,气短声低，喉中时有轻度哮鸣，痰多质稀，色白，自汗，怕风，常易感冒，倦怠无力，食少便溏，舌质淡，苔白，脉细软。证属,C,寒包热哮,风痰哮,肺脾气虚哮,肺肾两虚哮,虚哮
中医内科,短气息促，动则为甚，吸气不利，咯痰质黏起沫，脑转耳鸣，腰酸腿软，心慌，不耐劳累。或烦热，颧红，口干，舌质红少苔，脉细数。证属,D,寒包热哮,风痰哮,肺脾气虚哮,肺肾两虚哮,虚哮
中医内科,热哮病的代表方宜选用,B,射干麻黄汤,定喘汤,小青龙汤加石膏汤,三子养亲汤,平喘固本汤
中医内科,寒包热哮病的代表方宜选用,C,射干麻黄汤,定喘汤,小青龙汤加石膏汤,三子养亲汤,平喘固本汤
中医内科,虚哮病的代表方宜选用,E,射干麻黄汤,定喘汤,小青龙汤加石膏汤,三子养亲汤,平喘固本汤
中医内科,五磨饮子适用于喘证之,C,上实下虚证,痰浊阻肺证,肺气郁痹证,表寒里热证,痰热郁肺证
中医内科,下列哪一项不是实喘的表现,B,呼吸深长,吸入为快,气粗声高,痰鸣咳嗽,脉数有力
中医内科,喘证的病变部位在,B,心、肺,肺、肾,心、肾,脾、肾,肺、脾
中医内科,喘脱危象，宜急服,C,回阳救急汤,苏子降气汤,参附汤送服黑锡丹,控涎丹,紫金丹
中医内科,下列哪项不是喘证的成因,B,外邪侵袭,肺气虚冷,饮食不当,劳欲久病,情志失调
中医内科,实喘的治疗原则是,B,化痰平喘,祛邪利气,降气平喘,降气化痰,以上都不是
中医内科,清热化痰，宣肺平喘用于喘证的哪一个证型,C,风寒袭肺,表寒里热,痰热郁肺,痰浊阻肺,肺气郁闭
中医内科,虚喘的治疗尤当重视,E,治肺,治脾,治心,治肝,治肾
中医内科,下列哪项不是实喘的表现,B,呼吸深长,吸入为快,气粗声高,痰鸣咳嗽,脉数有力
中医内科,喘证持续不已的病位在,A,心,肺,脾,肾,肝
中医内科,喘脱的病机为,E,心气欲竭，脾肾阳衰,心气欲竭，肺肾阳衰,肾气欲竭，心肺阳衰,肺气欲竭，肝肾阳衰,肺气欲竭，心肾阳衰
中医内科,患者，男，70岁。喘促气短，声低气怯，咳声低弱，咳痰稀白，自汗畏风，舌淡红苔薄白，脉弱无力。治疗应首选,B,三子养亲汤合二陈汤,生脉散合补肺汤,七味都气丸合生脉散,参蛤散合金匮肾气丸,苏子降气汤合二陈汤
中医内科,某男，28岁，喘逆上气，息粗鼻煽。咳而不爽，痰吐稠黏，形寒身热，身痛无汗，口渴，苔薄白或黄、质红，脉浮数。治疗方剂宜首选,C,麻黄汤,小青龙汤,麻杏石甘汤,桑白皮汤,三子养亲汤
中医内科,治疗肺脾气虚所致哮病，应首选,C,生脉散合补肺汤,金水六君煎,六君子汤,保真汤,麦门冬汤
中医内科,治疗肺气虚耗所致喘证，应首选,A,生脉散合补肺汤,金水六君煎,六君子汤,保真汤,麦门冬汤
中医内科,喘息咳逆，呼吸急促，胸部胀闷，痰多稀薄而带泡沫，色白质黏，常有头痛，恶寒，或有发热，口不渴，无汗，苔薄白而滑，脉浮紧。证属,A,风寒壅肺证,表寒肺热证,痰热郁肺证,痰浊阻肺证,肺气郁闭证
中医内科,喘而胸满闷塞，甚则胸盈仰息，咳嗽，痰多黏腻色白，咯吐不利，兼有呕恶食少，口黏不渴，舌苔白腻，脉象滑或濡。证属,D,风寒壅肺证,表寒肺热证,痰热郁肺证,痰浊阻肺证,肺气郁闭证
中医内科,每遇情志刺激而诱发，发时突然呼吸短促，息粗气憋，胸闷胸痛，咽中如窒，但喉中痰鸣不著，平素常多忧思抑郁，失眠，心悸，苔薄，脉弦。证属,E,风寒壅肺证,表寒肺热证,痰热郁肺证,痰浊阻肺证,肺气郁闭证
中医内科,喘证痰热郁肺证的治法宜选用,B,解表清里，化痰平喘,清热化痰，宣肺平喘,痰浊阻肺，宣肺平喘,扶阳固脱，镇摄肾气,补肾纳气
中医内科,喘证正虚喘脱证的治法宜选用,D,解表清里，化痰平喘,清热化痰，宣肺平喘,痰浊阻肺，宣肺平喘,扶阳固脱，镇摄肾气,补肾纳气
中医内科,喘证肾虚不纳证的治法宜选用,E,解表清里，化痰平喘,清热化痰，宣肺平喘,痰浊阻肺，宣肺平喘,扶阳固脱，镇摄肾气,补肾纳气
中医内科,喘证风寒壅肺证的代表方宜首选,A,麻黄汤,小青龙汤,麻杏石甘汤,桑白皮汤,七味都气丸
中医内科,喘证寒饮伏肺，复感外寒而引发者宜选用何方,B,麻黄汤,小青龙汤,麻杏石甘汤,桑白皮汤,七味都气丸
中医内科,喘证肾阴虚者，不宜辛燥，宜选用何方,E,麻黄汤,小青龙汤,麻杏石甘汤,桑白皮汤,七味都气丸
中医内科,肺痈的治疗原则是,B,清热解毒，活血通络,清热解毒、化瘀排脓,清热解毒，肃肺化痰,清热解毒，凉血止血,清热解毒，宣肺平喘
中医内科,肺痈成痈期的最佳治法是,B,清热解毒，凉血止血,清肺解毒，化瘀消痈,清热解毒，宣肺化痰,辛凉解表，清肺化痰,清热解毒，排脓消痈
中医内科,肺痈溃脓期的治法是,D,养阴清肺,清肺化痰,养阴补肺,排脓解毒,益气养阴
中医内科,加味桔梗汤治疗下列何证,A,肺痈溃脓期,肺痈成痈期,咳嗽痰热郁肺,实喘痰热郁肺,肺胀痰热郁肺
中医内科,肺痈的诊断，主要应掌握下列哪项,D,咳嗽,胸痛,发热口干,咳吐腥臭脓痰,脉滑数
中医内科,咳吐大量脓血痰，或如米粥，腥臭异常，有时咯血，胸中烦满而痛，证属,C,肺痈成痈期,初期,溃脓期,恢复期,以上都不是
中医内科,肺痈溃脓期的治疗主方是,E,银翘散,千金苇茎汤,如金解毒散,桔梗杏仁煎,以上都不是
中医内科,《千金》苇茎汤用于治疗下列哪个病最为适合,A,肺痈,肺痿,肺胀,肺消,肺痨
中医内科,肺痈恢复期的病机是,D,痰热与瘀血壅阻肺络，肉腐血败,热壅血瘀，蕴酿成痈,风热犯表，内郁于肺,邪去正虚，阴伤气耗,痰热阻肺，肺气上逆
中医内科,肺痈溃脓期若气虚不能托脓，可在辨证用药的基础上加入,B,党参,生黄芪,柴胡,升麻,薏苡仁
中医内科,肺痈成痈化脓的病理基础，主要在于,D,痰热壅盛,热伤血脉,血脉瘀滞,热壅血瘀,气滞血瘀
中医内科,肺痈患者，壮热面赤，咳嗽气急，咯痰腥臭，痰色黄绿，口渴。其治法是,D,清肺化痰活血,排脓解毒,养阴清肺解毒,清肺化瘀消痈,清热解毒化痰
中医内科,患者咳嗽，胸痛，发热，咯吐腥臭浊痰及脓血，应诊断为,D,肺痿,咳嗽,肺痨,肺痈,肺胀
中医内科,患者始恶寒发热，咳嗽，咳白色黏痰，痰量逐渐增多，胸痛，咳则尤甚，呼吸不利，口干鼻燥，苔薄黄，脉浮数。应诊断为,C,风热咳嗽,燥热咳嗽,初期肺痈,风热感冒,成痈期肺痈
中医内科,肺痈初期应选,B,千金苇茎汤合如金解毒散,银翘散,葶苈大枣泻肺汤,沙参麦冬汤或桔梗杏仁煎,加味桔梗汤
中医内科,肺痈成痈期应选,A,千金苇茎汤合如金解毒散,银翘散,葶苈大枣泻肺汤,沙参麦冬汤或桔梗杏仁煎,加味桔梗汤
中医内科,肺痈溃脓期应选,E,千金苇茎汤合如金解毒散,银翘散,葶苈大枣泻肺汤,沙参麦冬汤或桔梗杏仁煎,加味桔梗汤
中医内科,肺痈恢复期应选,D,千金苇茎汤合如金解毒散,银翘散,葶苈大枣泻肺汤,沙参麦冬汤或桔梗杏仁煎,加味桔梗汤
中医内科,肺痈成痈期，当用何治法,B,益气养阴，排脓解毒,清热解毒，化瘀消痈,益气养阴清热,疏风散热，清肺化痰,清热解毒，排脓消痈
中医内科,肺痈初期，当用何治法,D,益气养阴，排脓解毒,清热解毒，化瘀消痈,益气养阴清热,疏风散热，清肺化痰,清热解毒，排脓消痈
中医内科,治疗肺痨之虚火灼肺证，应首选的方剂是,E,保真汤,补天大造丸,参苓白术散,月华丸,百合固金汤合秦艽鳖甲散
中医内科,肺痨患者症见咳嗽无力，气短声低，自汗畏风，舌质转淡，其虚损性质是,E,阳虚,阴阳两虚,阴虚,气阴两虚,气虚
中医内科,肺痨之虚火灼肺证的证机概要是,E,阴伤及阳，精气虚竭，肺、脾、肾俱损,肺肾阴伤，燥热内灼，肺肾俱损,阴虚肺燥，肺失滋润，肺伤络损,阴伤气耗，肺脾两虚，肺气不清，脾虚不健,肺肾阴伤，水亏火旺，燥热内灼，络损血溢
中医内科,肺痨的外在致病因素是,B,燥邪,痨虫,痰浊,瘀血,水饮
中医内科,滋阴降火是哪一型肺痨的治法,B,肺阴亏虚,虚火灼肺,气阴耗伤,阴阳虚损,气血不足
中医内科,肺痨虚火灼肺，咳血较著者，在辨证方中宜加入,C,当归、三七,泽兰、红花,黑山栀、紫珠草,冬虫夏草、蛤蚧,木蝴蝶、诃子
中医内科,虚劳与肺痨的鉴别要点主要在于,D,有无咳血盗汗,有无肺虚见证,有无五脏虚损证候,有无传染性,有无干咳
中医内科,补天大造丸治疗肺痨的证型是,B,肺阴亏虚,阴阳两虚,虚火灼肺,气阴耗伤,肺肾两虚
中医内科,肺痨日久可以进一步影响其他脏腑，其中关系最密切的是,B,心肺,脾肾,心肝,肝肾,肝脾
中医内科,虚证肺痨之病理属性以何为主,A,阴虚,阳虚,气虚,血虚,阴虚火旺
中医内科,患者，男，27岁。有与肺痨病人接触史。干咳少痰，咳声短促，痰中带血，五心烦热，时有盗汗，形体消瘦，胸部闷痛隐隐，舌红少苔，脉细数。其诊断是,B,内伤咳嗽，肺阴亏耗,肺痨，肺阴亏损,哮证，肺虚,喘证，肺虚,虚劳，肺阴虚
中医内科,患者肺痨迁延9年余，咳嗽痰白质稀，声低气怯，午后潮红，面颧红赤，神疲，纳少，大便溏薄，自汗，盗汗，偶有痰中带血，面色少华，舌光，边有齿印，脉细弱。方选,D,百合固金汤加减,补天大造丸加减,月华丸加减,参苓白术散加减,秦艽鳖甲散加减
中医内科,某女，病起半年，晚间呛咳，痰少质黏，痰中带血，口干咽燥，心烦失眠，盗汗，大便干结，舌质干红，苔薄黄，脉细数。治法宜用,C,滋阴润肺,益气养阴,滋阴降火,健脾生血,润燥化痰
中医内科,咳嗽肺阴亏耗证的代表方首选,B,麦门冬汤,沙参麦冬汤,秦艽鳖甲散,百合固金汤,月华丸
中医内科,肺痨肺阴亏虚证的代表方首选,E,麦门冬汤,沙参麦冬汤,秦艽鳖甲散,百合固金汤,月华丸
中医内科,气阴耗伤型肺痨的治法是,C,滋阴止咳,滋阴降火,益气养阴,滋阴补阳,滋阴润肺
中医内科,肺阴亏虚型肺痨的治法是,E,滋阴止咳,滋阴降火,益气养阴,滋阴补阳,滋阴润肺
中医内科,治疗肺胀之痰浊壅肺证，应首选的方剂是,A,苏子降气汤合三子养亲汤,越婢加半夏汤,桑白皮汤,真武汤合五苓散,平喘固本汤合补肺汤
中医内科,下列各项，不属肺胀实证治疗原则的是,D,祛邪宣肺,降气化痰,温阳利水,益肾健脾,开窍息风
中医内科,肺胀的病理因素是,C,痰浊、水饮、外邪,痰浊、外邪、血瘀,痰浊、水饮、血瘀,痰浊、气滞、血瘀,痰浊、水饮、气滞
中医内科,肺胀最特征性的主症是,D,发作性痰鸣气喘,喘促气急,咳嗽咳痰,胸部膨满，憋闷如塞,胸胁饱满，咳睡引痛
中医内科,肺胀的病位在肺，继则影响到,B,心、脾，后期病及于肾,脾、肾，后期病及于心,肝、肾，后期病及于心,肝、脾，后期病及于心,心、肝，后期病及于肾
中医内科,肺胀之阳虚水泛证当选下列何法治疗,E,温肺散寒，降逆涤痰,清肺泄热，降逆平喘,涤痰祛瘀，泻肺平喘,补肺纳肾，降气平喘,温肾健脾，化饮利水
中医内科,小青龙汤治疗肺胀哪一型,A,外寒内饮,痰热郁肺,痰蒙神窍,肺肾气虚,阳虚水泛
中医内科,痰热郁肺证肺胀的治法是,C,宣肺化痰，止咳定喘,清热解毒，止咳化痰,清肺化痰，降逆平喘,辛凉解表，止咳化痰,养阴清肺，化痰降气
中医内科,下列除哪项外，均为痰热郁肺型肺胀的主症,D,咳逆喘息气粗,胸满烦躁，目胀睛突,痰黄或白，黏稠难咯,痰稀易咯出,舌苔黄腻，脉滑数
中医内科,肺胀的病理性质为本虚标实，下列哪项不属标实的内容,E,痰浊,水饮,瘀血,气滞,食滞
中医内科,肺胀后期容易波及的脏腑是,D,肝,肺,大肠,心,以上均非
中医内科,治疗痰热郁肺型肺胀的首选方剂是,B,清金化痰汤,越婢加半夏汤,小青龙加石膏汤,麻杏石甘汤,定喘汤
中医内科,患者肺胀病史20年，呼吸浅促难续，声低气怯，倚息不能平卧，胸闷如窒，心慌，咳痰不爽，脉沉数无力。治疗应首选,B,金匮肾气丸,平喘固本汤,真武汤,大补元煎,七味都气丸
中医内科,患者呼吸浅短难续，咳声低怯，胸满短气，倚息不能平卧，咳嗽，痰白如沫，咳吐不利，心悸，形寒汗出，面色晦暗，舌黯紫，脉沉细无力，当用何法治疗,D,温肺散寒，降逆涤痰,清肺泄热，降逆平喘,涤痰祛瘀，泻肺平喘,补肺纳肾，降气平喘,温阳化饮，宣肺平喘
中医内科,患者症见胸部膨满，憋闷如塞，短气喘息，稍劳即著，咳嗽痰多，色白黏腻，畏风易汗，脘痞纳少，倦怠乏力，舌暗，苔薄腻，脉小滑。属肺胀何种证型,B,痰热郁肺,痰浊壅肺,痰蒙神窍,肺肾气虚,阳虚水泛
中医内科,肺胀宜用真武汤合五苓散治疗的证候是,A,阳虚水泛证,痰蒙神窍证,痰浊壅肺证,肺肾气虚证,外寒内饮证
中医内科,肺胀宜用苏子降气汤合三子养亲汤治疗的证候是,C,阳虚水泛证,痰蒙神窍证,痰浊壅肺证,肺肾气虚证,外寒内饮证
中医内科,下列关于肺痿治疗的各项叙述中，错误的是,A,重视调理肝肾,以补肺生津为原则,不可妄投燥热，以免助火伤津,忌苦寒滋腻碍胃,慎用祛痰峻剂
中医内科,治疗肺痿虚寒证，应首选的方剂是,D,七味都气丸,麦门冬汤,麻黄升麻汤,甘草干姜汤,清燥救肺汤
中医内科,肺痿的特征性症状是,C,咳大量脓血痰,胸胁饱满，咳唾引痛,咳吐浊唾涎沫、气短,胸部膨满，憋闷如塞,咳嗽、咳血、潮热、盗汗
中医内科,不属于肺痿虚热证的症状是,D,气急喘促,午后潮热,皮毛干燥,舌质淡,舌红而干
中医内科,肺痿上热下寒证的治疗方剂是,B,清金化痰汤,麻黄升麻汤,小青龙汤,泻白散,麦门冬汤
中医内科,肺痿的治疗原则是,C,疏风解表,温肺化饮,补肺生津,纳气定喘,止咳化痰
中医内科,肺痿的病位在肺，与（,B,脾、心、肾,脾、胃、肾,脾、肝、肾,脾、肾,脾、胃
中医内科,治疗肺痿之肾虚血瘀证，应首选的方剂是,D,麻黄升麻汤,甘草干姜汤,清燥救肺汤,七味都气丸合柴胡疏肝散,麦门冬汤
中医内科,王某，男性，75岁。反复咳喘30年多。现症：咳吐涎沫，其质清稀量多，不渴，短气不足以息，头眩，神疲乏力，食少，形寒，小便数，舌质淡，脉虚弱。其治疗应首选（,B,麻黄升麻汤,生姜甘草汤,清燥救肺汤,七味都气丸,麦门冬汤
中医内科,肺痿虚寒证的特点是,E,咳吐涎沫，咽干，下利泄泻，形寒肢凉,咳吐涎沫，短气，呼多吸少，动辄尤甚,咳吐黏稠涎沫，口渴咽燥，午后潮热，皮毛干枯,咳吐涎沫，神疲体弱，气短懒言，唇面青紫,咳吐清稀涎沫，形寒，小便频数或遗尿
中医内科,肺痿虚热证的特点是,C,咳吐涎沫，咽干，下利泄泻，形寒肢凉,咳吐涎沫，短气，呼多吸少，动辄尤甚,咳吐黏稠涎沫，口渴咽燥，午后潮热，皮毛干枯,咳吐涎沫，神疲体弱，气短懒言，唇面青紫,咳吐清稀涎沫，形寒，小便频数或遗尿
中医内科,肺痿虚热证，出现虚烦呕逆者，应加用,A,竹茹、竹叶,天花粉、川贝母,沙参、玉竹,地黄、当归,银柴胡、地骨皮
中医内科,肺痿虚热证，出现津伤甚者，应加用,C,竹茹、竹叶,天花粉、川贝母,沙参、玉竹,地黄、当归,银柴胡、地骨皮
中医内科,治疗心悸瘀阻心脉证，应首选的方剂是,E,桂枝甘草龙骨牡蛎汤合参附汤,黄连温胆汤合炙甘草汤,通窍活血汤合甘麦大枣汤,半夏泻心汤合当归活血饮,桃仁红花煎合桂枝甘草龙骨牡蛎汤
中医内科,下列选项中，不属于心悸诊断依据的是,A,伴有上下冲逆，发自少腹,劳倦、饱食等因素可诱发,自觉心中悸动不安，心搏异常,呈阵发性或持续不解,伴有胸闷不舒，易激动
中医内科,心悸的辨证，应首辨的要点是,C,脉象变化,外感内伤,虚实,寒热,表里
中医内科,下列选项中，不属心悸病理因素的是,A,寒凝,水饮,气滞,痰浊,血瘀
中医内科,下列选项中，属于心悸病因的是,D,先天遗传,久病入络,跌仆损伤,感受外邪,疫毒侵袭
中医内科,治疗心悸心血不足证，应首选,D,天王补心丹,安神定志丸,桂枝甘草龙骨牡蛎汤,归脾汤,朱砂安神丸
中医内科,下列何项不是惊悸与怔忡的鉴别要点,E,致病多由外因或内因引起,诱因常与惊恐、恼怒或劳累有关,全身情况较好或较差,病性属实或属虚,病位在肝或在心
中医内科,下列除哪项外，均是心悸的病机,B,心神不宁,胃失和降,心失所养,阴阳亏虚,邪扰心神
中医内科,心悸心血不足证的治法为,B,镇惊定志，养心安神,补血养心，益气安神,滋阴清火，养心安神,温补心阳，安神定悸,振奋心阳，宁心安神
中医内科,心悸心虚胆怯证的代表方是,A,安神定志丸,归脾汤,天王补心丹合朱砂安神丸,桂枝甘草龙骨牡蛎汤合参附汤,黄连温胆汤
中医内科,心悸心虚胆怯证的治法为,A,镇惊定志，养心安神,补血养心，益气安神,滋阴清火，养心安神,温补心阳，安神定悸,振奋心阳，宁心安神
中医内科,患者心悸气短，头晕目眩，失眠健忘，面色无华，倦怠乏力，纳呆食少，舌淡红，脉细弱。证机概要为,B,气血亏损，心虚胆怯，心神失养，神摇不安,心血亏耗，心失所养，心神不宁,肝肾阴虚，水不济火，心火内动，扰动心神,心阳虚衰，无以温养心神,脾肾阳虚，水饮内停，上凌于心，扰乱心神
中医内科,患者心悸不宁，善惊易恐，坐卧不安，不寐多梦而易惊醒，恶闻声响，食少纳呆，苔薄白，脉细略数或细弦。证机概要为,A,气血亏损，心虚胆怯，心神失养,心血亏耗，心失所养，心神不宁,肝肾阴虚，水不济火，心火内动,心阳虚衰，无以温养心神,脾肾阳虚，水饮内停，上凌于心
中医内科,患者心悸易惊，心烦失眠，五心烦热，口干，盗汗，思虑劳心则症状加重，伴耳呜腰酸，头晕目眩，急躁易怒，舌红少津，苔少或无，脉象细数。证机概要为,C,气血亏损，心虚胆怯，心神失养，神摇不安,心血亏耗，心失所养，心神不宁,肝肾阴虚，水不济火，心火内动，扰动心神,心阳虚衰，无以温养心神,脾肾阳虚，水饮内停，上凌于心，扰乱心神
中医内科,心悸心阳不振证的代表方宜首选,B,天王补心丹合朱砂安神丸,桂枝甘草龙骨牡蛎汤合参附汤,真武汤,黄连温胆汤,苓桂术甘汤
中医内科,心悸水饮凌心证的代表方宜首选,E,天王补心丹合朱砂安神丸,桂枝甘草龙骨牡蛎汤合参附汤,真武汤,黄连温胆汤,苓桂术甘汤
中医内科,心悸阴虚火旺证的代表方宜首选,C,安神定志丸,黄连温胆汤,天王补心丹合朱砂安神丸,桂枝甘草龙骨牡蛎汤合参附汤,归脾汤
中医内科,心悸心血不足证的代表方宜首选,E,安神定志丸,黄连温胆汤,天王补心丹合朱砂安神丸,桂枝甘草龙骨牡蛎汤合参附汤,归脾汤
中医内科,下列选项中，属于胸痹主症的是,C,胸胁胀痛，持续不解，多伴有咳唾,心下有气攻冲作痛,胸部闷痛甚则胸痛彻背，休息或用药后可缓解,自觉心中悸动不安，心搏异常,咳嗽，胸痛，脓血痰
中医内科,胸痹的辨证，应首辨的要点是,D,脉象变化,外感内伤,标本虚实,病情轻重,寒热虚实
中医内科,胸痹的辨证，应首辨的要点是,D,脉象变化,外感内伤,标本虚实,病情轻重,寒热虚实
中医内科,治疗胸痹心血瘀阻证，若伴气虚自汗者，可选用的方剂为,D,生脉散合失笑散,补中益气汤合当归活血饮,四君子汤合复方丹参滴丸,人参养营汤合桃红四物汤,补中益气汤合失笑散
中医内科,下列选项中，属于胸痹主症的是,C,胸胁胀痛，持续不解，多伴有咳唾,心下有气攻冲作痛,胸部闷痛甚则胸痛彻背，休息或用药后可缓解,自觉心中悸动不安，心搏异常,咳嗽，胸痛，脓血痰
中医内科,胸痹的辨证，应首辨的要点是,D,脉象变化,外感内伤,标本虚实,病情轻重,寒热虚实
中医内科,胸痹的主要病机为,E,气滞血瘀,寒凝气滞,痰瘀交阻,阳气虚衰,心脉痹阻
中医内科,胸痹总属本虚标实，下列哪项除外都为常见标实,E,气滞,痰浊,血瘀,阴寒,火邪
中医内科,胸痹心痛的病位在,D,肾,肝,脾,心,肺
中医内科,胸痹心痛发作时，疼痛可以放射到,B,右胸,肩背,左胁下,右胁下,背正中
中医内科,患者胸闷气短，甚则胸痛彻背，心悸汗出，腰酸乏力，畏寒肢冷，唇甲淡白，舌淡白，脉沉微欲绝。治疗应首选,A,参附汤合右归饮,人参养营汤合左归饮,炙甘草汤合生脉散,苓桂术甘汤合左归丸,苏合香丸合左归饮
中医内科,患者，女性，60岁，有冠心病病史半年，昨日与邻居发生口角后即感觉心痛阵作，痛无定处，脘腹胀闷，嗳气较舒，苔白，脉细弦。治疗主方选,A,柴胡疏肝散,丹栀逍遥散,当归四逆散,甘麦大枣汤,栝蒌薤白半夏汤
中医内科,患者心胸疼痛剧烈，如刺如绞，痛有定处，伴有胸闷，日久不愈，可因暴怒而加重，舌质紫暗，脉弦涩。证属,D,痰浊痹阻,寒凝心脉,气滞心胸,心血瘀阻,心阳不振
中医内科,患者胸痛剧烈，心痛彻背，背痛彻心，痛无休止，身寒肢冷，气短喘息，脉沉紧。治宜选用,A,乌头赤石脂丸,血府逐瘀汤,冠心苏合丸,瓜萎薤白半夏汤,天王补心丹
中医内科,胸痹气阴两虚证，其临床特点是,B,胸部刺痛，入夜尤甚,胸闷隐痛，时作时止,胸闷如窒，气短喘促,胸闷气短，畏寒肢冷,胸痛彻背，感寒痛甚
中医内科,胸痹阴寒凝滞证，其临床特点是,E,胸部刺痛，入夜尤甚,胸闷隐痛，时作时止,胸闷如窒，气短喘促,胸闷气短，畏寒肢冷,胸痛彻背，感寒痛甚
中医内科,真心痛正虚阳脱证的治法为,A,回阳救逆，益气固脱,益气活血，通脉止痛,温补心阳，散寒通脉,通阳散结，豁痰宣痹,活血化瘀，通脉止痛
中医内科,真心痛寒凝心脉的主治方剂,D,保元汤,血府逐瘀汤,四逆散,当归四逆汤,当归补血汤
中医内科,真心痛的症状特点是,C,自觉心中悸动,胸部膨满,剧烈持久的胸骨后疼痛,两胁胀痛,心下痞满
中医内科,关于真心痛气虚血瘀证临床表现，错误的是,E,心胸刺痛,动则加重,短气乏力,舌质暗淡,脉微欲绝
中医内科,真心痛其本在,A,肾,心,脾,肺,肝
中医内科,孙某，女，50岁。有胸闷病史3年，近日来心胸刺痛，胸部闷窒，动则加重，短气乏力，舌体胖大，边有齿痕，舌质暗淡，舌苔薄白，脉弦细无力。其治疗应首选的方剂是,E,天王补心丹合炙甘草汤,生脉散合人参养荣汤,枳实薤白桂枝汤合当归四逆汤,桂枝甘草龙骨牡蛎汤合参附汤,保元汤合血府逐瘀汤
中医内科,张某，男，65岁，有冠心病史6年。今日突然心胸绞痛，胸中有窒息感，心慌，面色苍白，大汗淋漓，四肢厥冷，舌淡少苔，脉疾数无力。此证的治法是,C,温补心阳，散寒通脉,益气活血，通脉止痛,回阳救逆，益气固脱,滋阴清火，养心和络,益气养阴，活血通脉
中医内科,真心痛发作期治疗原则为,D,疏理气机，活血化瘀,辛温通阳，泄浊豁痰,镇心安神，益气养阴,急则治标，速效止痛,补气活血，温阳通脉
中医内科,真心痛缓解期治疗原则为,E,疏理气机，活血化瘀,辛温通阳，泄浊豁痰,镇心安神，益气养阴,急则治标，速效止痛,补气活血，温阳通脉
中医内科,治疗不寐痰热扰心证，首选的方剂是,B,羚角钩藤汤,黄连温胆汤,涤痰汤,礞石滚痰丸,半夏白术天麻汤
中医内科,不寐的治疗原则为,E,先治其标，后治其本,补虚扶正，充髓养脑,益气养血，补益肝肾,清热化痰，安神定志,补虚泻实，调整阴阳
中医内科,不寐的辨证，应首辨的要点是,D,寒热,久暂,病位,虚实,标本
中医内科,不寐的病机总属,E,邪扰心神，心神不宁,气血阴阳亏虚，心失所养,阴虚火旺，心肾不交,脾虚不运，心神失养,阳盛阴衰，阴阳失交
中医内科,不寐之心肾不交证的主治方剂是,D,归脾汤,龙胆泻肝汤,黄连温胆汤,六味地黄丸合交泰丸,安神定志丸合酸枣仁汤
中医内科,不寐的病位主要在,A,心,脑,肝,脾,肾
中医内科,失眠患者心烦、心悸、梦遗失精者，加用肉桂的目的是,E,温补肾阳,健脾和胃,温经散寒,温通心阳,引火归原
中医内科,将朱砂安神丸改汤剂治疗失眠时朱砂宜,D,先下,后下,同煎,冲服,减去
中医内科,不寐之心脾两虚证的主治方剂是,A,归脾汤,龙胆泻肝汤,黄连温胆汤,六味地黄丸合交泰丸,安神定志丸合酸枣仁汤
中医内科,患者不寐多梦，甚则彻夜不眠，急躁易怒，伴头晕头胀，目赤耳鸣，口干而苦，不思饮食，便秘溲赤，舌红苔黄，脉弦而数。其治法是,C,清化痰热，和中安神,补益心脾，养血安神,疏肝泻火，镇心安神,清肝利胆，安神定志,清心凉肝，镇惊宁神
中医内科,患者心烦不寐，胸闷脘痞，泛恶嗳气，伴口苦，头重，目眩，舌偏红，苔黄腻，脉滑数。其治法是,D,清心宁神，养阴除烦,养阴生津，除烦宁神,清火除烦，宁心安神,清化痰热，和中安神,滋阴宁心，镇惊安神
中医内科,患者胸闷，心烦不寐，泛恶嗳气，头重目眩，口苦，舌红苔黄腻，脉滑数。证属,D,阴虚火旺,心火炽盛,肝郁化火,痰热扰心,心胆气虚
中医内科,睡眠深度不够常表现为,E,入睡困难,醒后不能再睡,彻夜不寐,醒后不能消除疲劳,睡眠多梦
中医内科,最严重的睡眠时间不足为,C,入睡困难,醒后不能再睡,彻夜不寐,醒后不能消除疲劳,睡眠多梦
中医内科,阳明头痛，可选用的引经药是,C,羌活、蔓荆子,羌活、川芎,葛根、白芷,柴胡、川芎,吴茱萸、藁本
中医内科,头痛患者，疼痛日久，其痛如锥刺，固定不移，舌质紫，脉细涩。其证候是,E,肝阳,痰浊,血虚,肾虚,瘀血
中医内科,半夏白术天麻汤主要用于,A,痰浊头痛,血虚头痛,肝阳头痛,肾虚头痛,瘀血头痛
中医内科,下列哪项不是内伤头痛的特征,C,起病缓慢,疼痛较轻,痛无休止,痛势悠悠,遇劳加重
中医内科,下列哪项不是外感头痛的特征,E,灼痛,掣痛,重痛,胀痛,空痛
中医内科,前额部及眉棱骨等处的头痛多为,C,太阳头痛,厥阴头痛,阳明头痛,少阳头痛,太阴头痛
中医内科,外感头痛的致病因素以为主,A,风邪,寒邪,湿邪,热邪,燥邪
中医内科,患者，头痛以前额为甚，面红，牙痛，便干，舌红苔黄，脉弦。病位在,C,少阳经,太阳经,阳明经,少阴经,厥阴经
中医内科,患者头痛如裹，肢体困重，胸闷纳呆，大便溏薄，苔白腻，脉濡。治疗方剂首选,C,芎芷石膏汤,通窍活血汤,羌活胜湿汤,川芎茶调散,大补元煎
