标准答案,题干,选项A,选项B,选项C,选项D,选项E
B,茵陈蒿汤可治,腹泻,黄疸,失眠,崩漏,自汗
B,患者，男，23岁。高热，流清涕，咽痛，肢体酸痛，舌淡白，脉弦数。用药的煎服方法中错误的是,武火煮开，再用文火煮15分钟左右,处方中的胶类药物应该烊化,"芳香如""薄荷""等药物应该后下",煎药用水可使用长流水,本病服药可一日2剂
E,预防乙型脑炎流行的主要措施是,及时发现病人，及时治疗、隔离,管理好主要传染源的易感家畜，尤其注重对猪的管理,防蚊、灭蚊,预防接种乙脑疫苗,防蚊、灭蚊及易感人群预防接种为主的综合性预防措施
E,前臂旋前、旋后作业训练是,打字,书法,下棋,捏饺子,拧龙头
C,头穴中，额旁2线主治下列哪类疾病：,肩、臂、手等疾患,皮层性视力障碍、白内障、近视眼,急慢性胃炎、肝胆疾病,腰腿病证,冠心病、心绞痛、气管炎
A,治疗滞产，应首选：,合谷,太冲,足三里,血海,至阴
B,腰椎间盘突出症患者的背伸肌力减弱或消失，提示受压的神经根最可能是（  ）,骶1,腰5,腰4,腰3,腰2
B,下列哪项病症易与肾气虚相关,妊娠腹痛,月经先后无定期,癥瘕,经行吐衄,妊娠恶阻
D,“疳者甘也”的含义是指,病证,病位,病情,病因,症状
A,阳维脉的郄穴是：,阳交,阳辅,阳陵泉,阳关,阳溪
B,患者自觉口中有苦味者，属,肝胃郁热,心火上炎,燥热津伤,脾胃湿热,脾胃虚弱
C,具有温补气血，缓急止痛的方是,小建中汤,大建中汤,当归建中汤,黄芪建中汤,吴茱萸汤
A,下合穴最多的经脉是：,足阳明胃经,足太阳膀胱经,足少阳胆经,手太阳小肠经,足太阴脾经
E,首位对方剂配伍关系进行解释的医家是,张仲景,程钟龄,孙思邈,吴鞠通,成无己
C,治疗气血不足型便秘的组穴首选：,合谷、曲池、腹结、上巨虚,肾俞、关元俞、气海、石关,脾俞、大肠俞、关元、足三里,中脘、阳陵泉、气海、行间,大横、上巨虚、内庭、支沟
D,某翁年过七旬，素体丰盛，眩晕常作，近日眩晕加重，头胀痛，烦躁，神志清楚，面色潮红，手足有轻微震颤，舌红少苔，脉弦。首当考虑：,风中经络,肝阳头痛,中风阳闭,中风先兆,颤证
B,《中华人民共和国中医药条例》明确对中医药发展的政策是国家,保护、支持、发展中医药事业,保护、扶持、发展中医药事业,保护、发展中医药事业,扶持、发展中医药事业,积极保护中医药事业
E,"某女，58岁。两年前曾患""中风""经治已愈，之后逐渐出现善忘呆滞，言语模糊不清，行为古怪，孤僻，时哭时笑，诊见两目暗晦、舌暗、脉细涩。其辨证为",风痰瘀阻,气虚络瘀,痰浊蒙窍,髓海不足,瘀血内阻
B,患者手足冷痛，月经延期，行经时少腹拘急疼痛，月经色紫黯有血块，脉沉弦迟，证属,血瘀证,血寒证,血虚证,气滞血瘀证,血热证
C,通过浮髌试验可以明确诊断的是,髌骨有无骨折,膝关节滑膜炎,膝关节腔积液,膝腱反射,膝关节活动度
D,患者呼吸微弱，汗出不止，面色苍白，口开目合，手撒身软，二便失禁，脉微欲绝，舌淡苔白，证属,气陷,亡阳,亡阴,气脱,血脱
A,苔黄而质腻多见于,食积化热,热入营分,寒湿内停,痰饮阻滞,外感风寒
E,王某，女性，40岁。发热微恶寒，咳嗽，咳黏液痰或黏液脓性痰，痰量由少渐多，胸痛，咳时尤甚，呼吸不利，口干鼻燥，舌苔薄黄或薄白，脉浮数而滑。若内热转甚，身热，恶寒不显，咳痰黄稠，口渴者，酌加以清肺泄热，加哪组药物效果更好,黄芩、黄连、功劳叶、青蒿,地骨皮、瓜蒌、大黄、葶苈子,郁金、赤芍、丹皮、乳香,白薇、冬瓜仁、石膏、知母,石膏、黄芩、鱼腥草
B,糖尿病酮症酸中毒患者呼出的气味是,蒜臭味,烂苹果味,氨味,酸味,血腥味
D,患者，男，49岁。素有高血压，近月余眩晕、耳鸣、头目胀痛，伴口苦心烦，失眠多梦，遇情志不遂而加重，心悸易怒，舌红苔黄，脉弦数。其选方为,银翘散,镇肝熄风汤,龙胆泻肝汤,天麻钩藤饮,滋肾通关丸
A,阳虚发热证的特点,发热欲近衣，形寒怯冷,午后潮热或五心烦热,发热多为低热或潮热，常随情绪波动而起伏,低热为主，伴头晕眼花，心悸、乏力,午后或夜间发热或身体某部位发热
B,王某，男，56岁。平素咳嗽咳痰，刻下症见头痛，昏蒙，胸脘满闷，呕恶痰涎，苔白腻，脉滑。治则宜,平肝潜阳,化痰降逆,养血为主,养阴补肾,以上都不是
A,清燥救肺汤体现了八法中的哪几法,宣、清、润、补、降,温、宣、清、润、降,和、汗、下、消、补,下、消、清、润、补,汗、下、消、补、降
E,患者，男.53岁。久病喘咳，现喘促短气，气怯声低，喉有鼾声，咳声低弱，痰吐稀薄，自汗畏风，烦热口渴，舌淡红，脉软弱。方药宜用生脉散合,玉屏风散,养阴清肺汤,沙参麦门冬汤,补中益气汤,补肺汤
E,痰浊阻滞型心悸的治法是,镇惊定志、养心安神,补血养心，益气安神,滋补肝肾，养心安神,活血化瘀、理气通络,理气化痰，宁心安神
C,小便赤涩灼痛，兼面赤口渴，心烦不寐，便干，舌红脉数，最宜诊断为,心火亢盛证,膀胱湿热证,心火下移证,阴虚火旺证,下焦湿热证
A,对真寒假热应采用的治疗法则是,热因热用,寒因寒用,塞因塞用,通因通用,虚则补之
A,《灵枢·百病始生》认为邪中人出现“洒淅喜惊”，为邪传舍于,经脉,络脉,冲脉,皮肤,腧穴
B,麦门冬汤与止嗽散组成中均含有的药物是,大枣,甘草,前胡,贝母,麦冬
C,下列哪项不属于六淫的致病特点,季节性,环境性,传染性,外感性,转化性
D,李某某，男，26岁。2011年8月6日初诊。主诉腹胀、身黄2天。患者在发病1年前突然出现皮肤、目睛发黄，小便黄赤，右胁疼痛，厌油纳差，恶心欲吐，倦怠无力，曾在某医院治疗，症状消失出院。1年后又见右胁疼痛不适，腹胀而丰满膨隆，有腹水，食后反饱作胀。2天前去公园游玩劳累，加之饮食不慎，进食硬食后，胃脘部明显胀闷不适，呕吐食物汤水约250ml，吐后感到心慌、出汗、头昏，卧床休息后有所好转，但腹胀难忍，不能进食，次日午餐后又呕吐鲜血约100ml，心慌头昏而入院治疗。诊时诉腹胀、身黄、小便黄、口苦口臭，不思饮食，大便干结。检查腹部胀大如鼓。面黄、目黄、身黄。舌质红、边有瘀点，苔黄厚腻，脉滑数。该病的中医诊断为,积聚,腹痛,黄疸,鼓胀,胁痛
E,下列哪一项不是大青龙汤证的主症,无汗,烦躁,发热,恶寒,筋惕肉瞤
C,下列哪项不是引起呕吐的主要原因,脾胃虚弱,情志失调,湿邪困脾,饮食不节,外邪侵袭
D,表现为胸骨后疼痛呈烧灼感的是,心绞痛,急性心肌梗死,肺梗死,反流性食管炎,带状疱疹
E,患儿，男，4岁，发热伴皮疹1天就诊，考虑为水痘，错误的说法是,可有神经痛,町并发脑膜脑炎,适当给予退热药,水痘结痂脱落后一般不留瘢痕,可用肾上腺糖皮质激素治疗
A,治肠痈腹痛之要药是,红藤,黄柏,大黄,鸦胆子,金银花
A,孕妇忌用的药物是,天花粉,淡竹叶,夏枯草,决明子,芦根
C,患者吴某，男性，40岁。既往有支气管哮喘病史，1天前感寒后出现呼吸急促，喉中哮鸣有声，胸膈满闷如塞，咳不甚，痰少咯吐不爽，面色晦黯带青，口不渴，或渴喜热饮，天冷或受寒加重，形寒怕冷，舌苔白滑，脉浮紧。若患者咳逆上气，汗多，可加服,桂枝,生龙骨,白芍,生牡蛎,黄芪
A,山茱萸的性味是,酸、涩，微温,甘、涩，温,甘、涩，平,酸、涩，寒,酸、甘，温
B,实喘痰热郁肺证治以,二陈汤合三子养亲汤,桑白皮汤,麻杏甘石汤,麻黄汤合华盖散,五磨饮子
A,薯蓣丸治疗虚劳诸不足，风气百疾，其功效特点是,扶正为主兼祛邪,扶正,祛邪为主兼扶正,祛邪,缓中补虚
D,滋阴解表的代表方剂是,参苏饮,败毒散,桂枝汤,加减葳蕤汤,麻黄细辛附子汤
A,黄疸早期治当祛邪以消除病源，通过除下列哪项之外的治法，给邪以出路,温化,清热,利湿,通下,解毒
A,患者，女，58岁，饮食虽下而复吐出，胸膈疼痛，固着不移，肌肤枯燥，形体消瘦，舌质紫暗，脉细涩。（假设信息）若瘀阻显著者，可酌加,三棱、莪术、炙穿山甲、急性子,柴胡、枳壳、白芍,人参、茯苓、白术,当归、川芎、赤芍,以上都不是
B,具有利水消肿渗湿功效的药物是,茯苓,猪苓,泽泻,薏苡仁,滑石
E,面目一身俱黄，黄而鲜明如橘子色的病因是,脾胃气虚,气血不足,阴寒凝滞,寒湿阻郁,湿热熏蒸
B,患者小便不畅，点滴短少2天，甚则阻塞不通，小腹胀满疼痛，舌紫暗，有瘀点，脉涩，其诊断是,癃闭肺热壅盛证,癃闭浊瘀阻塞证,癃闭肝郁气滞证,淋证气淋证,淋证血淋证
C,下列对于诊断肝气郁结证最无意义的是,少腹胀痛,情志抑郁,视物模糊,咽部有异物感,胸胁胀痛
B,患者心悸、失眠、多梦、健忘、头晕目眩、面色淡白、唇甲淡白，舌淡白，脉细无力，证属于,心阳虚证,心血虚证,心脾两虚证,心气虚证,心肾不交证
D,疾病发生的内在原因是,正气与邪气的斗争,邪盛而正未衰,邪气,正气不足,正衰邪盛
D,以下哪项不是气陷证的临床特征,头晕眼花,内脏下垂,阴挺脱肛,小便失禁,大便稀溏
C,可引起白细胞及中性粒细胞增多的疾病是,伤寒,流行性感冒,尿毒症,疟疾,肝硬化
A,属胆腑郁热证所致的黄疸宜选用,大柴胡汤,龙胆泻肝汤,小柴胡汤,茵陈五苓散,甘露消毒丹
B,国内咯血最常见的病因是,流行性出血热,肺结核,肺炎,支气管结核,支气管扩张
C,脉浮，发热，渴欲饮水，小便不利，治宜选用,五苓散,栝蒌瞿麦丸,猪苓汤,白虎加人参汤,文蛤散
A,心神失养型郁证的代表方剂是,甘麦大枣汤,补中益气汤,当归补血汤,归脾汤,天王补心丹
D,白果具有的功效是,涩肠止痛,涩肠安蛔,涩肠降火,涩肠止带,涩肠安神
A,出现排便先干后溏症状的是,脾气虚弱,肝郁乘脾,命门火衰,湿盛伤脾,食滞肠胃
A,暑湿伤表证的代表方剂是,新加香薷饮,羌活胜湿汤,三仁汤,黄芩滑石汤,藿香正气散
E,蓄血发狂的病理基础是,热陷心包,痰火闭阻,阴阳失调,肝阳暴亢,瘀热交阻
D,乌梅丸的配伍意义中，“苦以下蛔，清泻内热”所用到的药物是,黄芩、黄柏,干姜、附子,黄连、黄芩,黄连、黄柏,细辛、蜀椒
A,下列各项，不属影响疼痛的心理社会因素的是,意志,情绪,注意,人格,文化教育
A,大黄牡丹汤的功用是,泻热逐瘀，散结消肿,行气活血，清热解毒,活血祛瘀，滋阴降火,解毒消痈，活血祛瘀,清热解毒，攻下积滞
B,患者，女，35岁，带下量多，色黄质稠，少腹时而隐痛，阴部瘙痒，舌质红，苔黄腻，脉滑数，宜首选,清热泻火药,清热燥湿药,清热解毒药,清热凉血药,利水渗湿药
B,患者，女，29岁。产后大便秘结难下，诊见心悸气短，头晕目眩，唇舌色淡，苔白，脉细，首选方剂,黄芪汤,润肠丸,济川煎,当归补血汤,枳实导滞丸
C,不符合阻塞性黄疸特点的是,血清总胆红素增加,血清结合胆红素增加,尿内尿胆原增高,尿胆红素阳性,大便呈灰白色
B,感冒的治则是,温化宣肺,解表达邪,表里双解,祛邪利肺,清化肃肺
E,“益火之源，以消阴翳”是指,以阳中求阴之法调整阴阳偏衰,以阴中求阳之法调整阴阳偏衰,泻热之法，调整阳偏衰,以补阴之法，治疗阴虚阳亢之证,以补阳之法，治疗阳虚阴盛之证
E,患者，男，29岁，骨蒸潮热，盗汗遗精，足膝痛热，咳嗽咯血，心烦易怒，舌红少苔，脉数而有力，宜首选,生地,玄参,赤芍,紫草,知母
D,患者，男，50岁，患咳喘日久，动则喘咳加重，呼多吸少，气不得续，形瘦神疲，面红烦躁，口咽干燥，足冷，汗出如油，舌红少津，脉细数。治疗最佳方剂为,六味地黄丸,金匮肾气丸,参蛤散,七味都气丸合生脉散,左归丸
B,下列关于四逆汤证病机的描述最确切的一项是,心肾阴虚，阳不外达,肾阳虚衰，阴寒内盛,肾阳衰微，阴盛格阳,心肾气血阴阳俱虚,寒邪直中少阴，阳郁不达
A,下列不是卫生法中刑事责任的特征是,是侵害了卫生法所保护的社会关系构成犯罪所应承担的法律后果,是最严厉的一种法律责任,只能由犯罪行为人承担,具有不可转移性,只能由司法机关代表国家依法定程序予以追究
C,小建中汤所治妇人腹中痛的病机是,气滞血凝,血滞湿阻，肝郁脾虚,脾胃虚寒,冲任虚寒，瘀血内停,寒湿中阻，气机失调
B,胡黄连具有的功效是,退虚热，凉血，解暑，截疟,退虚热，除疳热，清湿热,清虚热，除疳热,清热燥湿，泻火解毒，退虚热,和解退热，疏肝解郁，升举阳气
E,最早明确指出胁痛与肝胆病变相关的医籍是,《难经》,《伤寒杂病论》,《景岳全书》,《证治汇补》,以上都不是
D,某男，45岁。胃痛病史5年，每遇饮食生冷或遇劳则发，疼痛呈阵发性，空腹时较重，食后减轻。两天前因气候寒冷再发，诊见上腹隐痛，喜温喜按，偶泛吐清水，精神疲倦，四肢欠温。舌淡苔白，脉虚弱。其治法为,疏肝解郁,温胃散寒，行气止痛,消食导滞，和胃止痛,温中健脾，和胃止痛,化瘀通络，理气和胃
A,聚证腹胀或痛，腹部时有条索状物聚起，按之胀痛更甚，便秘，纳呆，舌苔腻，脉弦滑，宜选方,六磨汤,五灵脂、元胡、佛手,柴胡疏肝散,平胃散加山楂、神曲,鳖甲煎丸
E,阳损及阴的病机，主要是指,阳气虚损，气化不利，水湿阴寒病邪积聚,阳气偏盛，消灼阴液，阴液亏损,阳热内盛，深伏于里，格阴于外,阳气虚损，阴气失制而偏盛,阳气虚损，累及阴液化生不足
D,积聚的基本病理为,气滞湿阻,气滞痰阻,气滞饮聚,气滞血瘀,气滞水停
A,风热感冒宜选用,葱豉桔梗汤,桑菊饮,止嗽散,荆防败毒散,参苏饮
D,患者张某，男性，56岁。身热，微恶风，汗少，肢体酸重，头昏胀痛，口渴心烦，胸闷泛恶，小便短赤，舌苔薄黄而腻，脉象濡数。应首选方剂是,银翘散,藿香正气散,黄连香薷饮,新加香薷饮,玉枢丹
A,患者男性，73岁，高热头痛，手足躁动，口噤，舌质红绛少苔，脉弦细而数。若患者出现口苦苔黄，则加,龙胆草、栀子、黄芩,黄连、菊花,白芍、生地,石膏、生地、麦冬,大黄、芒硝
D,保持道德生活的一贯性是,克己,利人,同情,正直,审慎
E,肺阴亏耗证，咳痰的特点是,痰少质黏或如絮条,痰多黏腻色白,痰稀薄而白,痰黏稠而黄,痰少而黏或带血丝
E,临床上，感邪后缓慢发病的发病形式为,复发,继发,卒发,感邪即发,徐发
E,病机为“痫发日久，心肾精血亏虚，髓海不足，脑失所养”的痫病可辨证为,风痰闭阻证,痰火扰神证,瘀阻脑络证,心脾两虚证,心肾亏虚证
B,固冲汤中用量最大的药物是,生黄芪,白术,棕榈炭,煅牡蛎,煅龙骨
A,具有温中祛寒、补气健脾功效的方剂是,理中丸,吴茱萸汤,大建中汤,小建中汤,四逆汤
B,《素问·脉要精微论》认为诊法常以什么时候最适宜,鸡鸣,平旦,日中,日西,合夜
E,患者，女，30岁，痛经，经血夹有大量血块，过食肉食后出现脘腹疼痛，嗳腐吞酸，查大便见有蛔虫卵，下肢有疥癣，瘙痒难忍。该患者首选的杀虫药是,槟榔,南瓜子,鹤牙草,使君子,苦楝皮
C,室间隔缺损患者杂音的机制是,瓣膜口狭窄,血流加速,异常通道,血管腔扩张,心腔内漂浮物
A,患者余某，女，30岁，患大叶性肺炎4天，现仍发热，呼吸急促或咳嗽，1天前总尿量减少，咽干，烦渴，苔薄黄，脉数。其诊断为,癃闭,热淋,腹痛,血淋,气淋
C,吞咽食物阻塞不下，食入即吐，见于,反胃,呃逆,噎膈,嘈杂,梅核气
E,下列哪项不属于五苓散的适应证,，脐下悸,小便不利,头目昏眩,呕吐涎沫,动则心悸
D,恶寒重，发热轻，头痛，鼻塞流清涕，周身酸楚疼痛，舌苔薄白而润，脉浮紧。治疗应首选,三拗汤,藿香正气散,小青龙汤,荆防败毒散,新加香薷饮
B,患者素体阳虚，肌表不温，故见,但热不寒,但寒不热,恶寒发热,寒热往来,并无寒热
C,某男，40岁，每天睡眠时间5～6小时，无其他症状，不影响工作，查体正常。考虑为,不寐,暂时性失眠,生理性少眠,老年人生理状态,其他病影响
C,回阳救急汤主治,血虚寒厥证,心肾阳衰之寒厥证,真阳衰微证,心肾阴衰之寒厥证,阳郁厥逆证
E,暖肝煎中配伍当归的用意是,养血润燥,通阳散结，祛痰下气,化瘀生新,行气散结，降逆化痰,养血补肝
C,维系着天地万物之间相互联系的是,宗气,阳气,精气,卫气,营气
E,某心痛病人迁延不愈，并出现心悸喘促，不能平卧，动则甚，肢体浮肿，畏寒肢冷，小便短少，舌淡，苔白滑，脉沉细。此时最佳方剂为,参附汤加减,右归饮加减,左归饮加减,生脉散加减,真武汤加减
C,心肾阴虚型胸痹的治法,益气温阳、活血通络,益气养阴、活血通络,滋阴清火，养心和络,辛温通阳、开痹散寒,通阳泻浊、豁痰开结
E,梁某，女性，20岁，间断发热1个月。咳嗽胸痛，咳吐大量脓痰，时有痰血相兼，腥臭异常，气喘不能平卧，烦渴喜饮，舌红，苔黄，脉滑数。本病例当诊断为,咳嗽,喘证,肺胀,肺痹,肺痈溃脓期
E,黄龙汤与四逆散均含有的药物是,人参、芍药,甘草、人参,芍药、柴胡,厚朴、枳实,枳实、甘草
E,香附能够,破气,补气,降气,纳气,疏肝
A,治疗自汗之肺为不固证，治法宜选用,益气固表,滋阴降火,养血补心,清热泻火,养肝补血
C,下述各项中不属血瘀证的症状是,痛如针刺,胁下痞块,出血鲜红,舌质紫暗,脉涩
D,下列属于假药的是,改变剂型或改变给药途径的药品,擅自添加着色剂、防腐剂、香料、矫味剂及辅料的,超过有效期的,以非药品冒充药品或者以他种药品冒充此种药品的,更改生产批号的
D,患部形小而圆，红肿热痛不甚，根浅，脓出即愈者，属,痈,疽,疔,疖,风疹
D,腹部检查Courvoisier征阳性的疾病是,急性胆囊炎,胆囊癌,急性胰腺炎,胰头癌,胆囊结石
C,海藻玉壶汤出自何书,《卫生宝鉴》,《济生方》,《外科正宗》,《景岳全书》,《脾胃论》
A,痫病与五脏均有关联，但主要责于的脏腑是,心、肝,心、肾,心、脾,肝、肾,肺、心
D,"称为""阴中之阳""的脏是",心,肺,脾,肝,肾
B,患者面色淡白，或萎黄，唇甲色淡白，头晕眼花，心悸多梦，舌淡，脉细无力属,气虚,血虚,阳虚,阴虚,津液不足
C,治疗要获得病人的知情同意，其道德价值应除外,维持社会公正,保护患者自主权,解脱医生责任,协调医患关系,保证医疗质量
E,乳房病最常用的内治原则是(　　)。,托毒排脓,补益气血,清热解毒,活血化瘀,理气疏络
A,疾病发生的根本原因在于,阴阳失调,气血不调,脏腑紊乱,寒热偏颇,清浊相干
E,关于“郑声”的病因病机描述错误的是,虚则郑声,心气大伤,精神散乱,常见于疾病晚期、危重者,痰湿、瘀血、气滞阻遏心窍
E,具有凉肝息风、增液舒筋作用的方剂是,半夏白术天麻汤,镇肝息风汤,大定风珠,天麻钩藤饮,羚角钩藤汤
A,霍乱病，吐利，汗出，发热恶寒，伴有四肢拘急，手足厥冷，治疗宜用,四逆汤,四逆加人参汤,通脉四逆加猪胆汁汤,白通加猪胆汁汤,理中汤
C,精癃发病年龄多在（   ）,青壮年,60岁以上,50～70岁,男性更年期,成年
C,肉桂入煎剂、研末冲服时的剂量分别是,0.1～0.3g、0.5～1g,1～2g、0.1～1g,1～4.5g、1～2g,5～15g、3～6g,以上都不是
D,膀胱造影显示膀胱壁有突向腔内的菜花状充盈缺损，应考虑,膀胱非上皮肿瘤,膀胱炎,膀胱结石,膀胱癌,膀胱结核
B,五脏分阴阳，肺的阴阳属性是,阳中之阳,阳中之阴,阴中之阳,阴中之阴,阴中之至阴
C,以下哪组药物可补脾肺气虚证,当归、阿胶、白芍,太子参、熟地黄、山萸肉,党参、黄芪、山药,鹿茸、紫河车、淫羊藿,杜仲、续断、西洋参
C,下述心烦，哪一项属于阴虚火炽证的表现,心烦，干呕，口苦而渴,心烦躁扰，时有谵语，身热夜甚，舌绛,心烦不得卧，身热，舌红苔黄，脉细数,烦躁不安，胸膈灼热如焚,烦躁不安，辗转反侧
A,青海的地道药材是,大黄,党参,川芎,薄荷,砂仁
C,叶天士认为，风温的发生是因为,外感风温时毒,温风过暖，感其气者,春月受风，其气已温,感受春季温热病邪,感受风邪
B,关于烧伤，下列说法错误的是（   ）,Ⅰ°烧伤深达表皮角质层,浅Ⅱ°烧伤愈后一般会留疤痕,深Ⅱ°烧伤损害深达真皮深层,Ⅱ°烧伤面积在9%（小儿在5%）以下，为浅度烧伤,Ⅱ°烧伤皮损可见水疱
B,四逆汤中，炙甘草的主要作用是,减少附子毒性,温补调中,调和诸药,补中益气,缓急止痛
D,生产、销售假药的，没收违法生产、销售的药品和违法所得，并处违法生产、销售药品货值金额,1倍以上3倍以下的罚款,1倍以上5倍以下的罚款,2倍以上3倍以下的罚款,2倍以上5倍以下的罚款,3倍以上5倍以下的罚款
A,疥疮的主要病因为（   ）,接触疥虫,湿热蕴结,外感风热,饮食不节,湿热毒聚
B,郑声的病机为,热扰心神，神明失主,心气大伤，精神散乱,气郁痰结，阻蔽心窍,热入心包，内扰心神,血瘀不畅，阻遏心窍
A,明代最有影响的中医外科学著作是（   ）,《外科正宗》,《疡科心得集》,《外科大成》,《外科全生集》,《霉疮秘录》
D,X线片示左心室增大，主动脉增宽、延长、迂曲，心脏呈靴型的是,二尖瓣狭窄,心包积液,肺源性心脏病,高血压性心脏病,主动脉瓣狭窄
C,湿热在膀胱者常用：,萆薢分清饮,龙胆泻肝汤,八正散,萆薢渗湿汤,黄连解毒汤
A,检查乳房的顺序，下列选项错误的是（   ）,先患侧后健侧,先望诊后触诊,按象限依次检查,先乳房后乳头、乳晕,乳房触诊后，必须扪查区域淋巴结
B,厌食的原因，应除外,暴食伤胃,胃强脾弱,湿热中阻,妊娠恶阻,肝胆湿热
A,食积内热证脉象多见,滑数,洪数,弦紧,沉弦,弦数
A,患者头痛，眩晕，失眠多梦，舌红苔黄，脉弦，宜选用的方剂是,天麻钩藤饮,羚角钩藤汤,半夏白术天麻汤,独活寄生汤,大定风珠
E,记忆过程不包括,识记,保持,遗忘,回忆,验证
B,中年妇女乳房肿块界限不清，经前乳房胀痛，应首先考虑(　　)。,乳岩,乳癖,乳疬,乳核,乳疽
D,槐花的功效是,凉血止血，散瘀消痈,凉血止血，解毒敛疮,凉血止血，散瘀解毒消痈,凉血止血，清肝泻火,收敛止血
E,大建中汤和小建中汤二方组成中均含有的药物是,附子,蜀椒,干姜,人参,饴糖
A,《药品管理法》规定医疗机构配制的制剂应当是本单位,临床需要而市场上没有供应的品种,临床、科研需要而市场上没有的品种,临床需要而市场上没有供应或供应不足的品种,临床、科研需要而市场上无供应或供应不足的品种,临床需要的品种
A,流行性感冒的临床特点为,上呼吸道症状轻，发热和全身中毒症状重,上呼吸道症状较轻，发热和全身中毒症状也较轻,上呼吸道症状以及发热和全身中毒症状均较重,无上呼吸道症状，而发热和全身中毒症状较重,上呼吸道症状较轻，无发热和全身中毒症状
A,北沙参的作用是,养阴清肺，益胃生津,养阴清肺，清胃生津，补气化痰,养阴润肺，清心安神,养阴生津，润肺清心,养阴润燥，清肺生津
B,患儿颈部瘰疬渐大，互相融合成块，表皮呈暗红色，微热，按压有轻微波动感，脉细数。治宜,理气化痰,养阴清热，托毒透脓,益气养血,清热解毒,疏肝解郁
D,枳实的功效是,疏肝理气，和中化痰,破气散结，疏肝行滞,理气和中，燥湿化痰,破气消积，化痰除痞,通阳散结，行气导滞
B,“十八反”中，与乌头相反的药物是,玄参,瓜蒌,细辛,海藻,白芍
B,取其散瘀解毒(　　)。,外用药粉以菊花汁调之,外用药粉以米醋调之,外用药粉以水调之,外用药粉以油调之,外用药粉以鸡蛋清调之
D,下列病证，不宜使用固涩剂治疗的是,肺虚久咳,肾虚遗泄,小便失禁,湿热带下,久泻久痢
E,有人在经历了严重创伤事件后，完全记不起引起创伤的经历，而在催眠状态下却回忆起当时的情景，这种心理防御机制属于,退行,压抑,反向,投射,否认
E,除杀虫之外，还可治疗妇女阴道滴虫病的药物是,使君子,苦楝皮,槟榔,贯众,鹤草芽
D,"在《外科正宗》一书中提出了医生的""十要""和""五戒""的医学家是",张仲景,孙思邈,钱乙,陈实功,徐大椿
A,研末服用，每次1.5～3g，效果比煎剂好的药物是,鸡内金,莱菔子,麦芽,谷芽,神曲
A,冻疮的主要发病机制是(　　)。,气血瘀滞,热毒炽盛,脏腑失调,痰湿凝滞,以上都不是
B,皮下斑点隐隐稀少，色淡红，压之不退，伴诸虚症状，此为,阳斑,阴斑,麻疹,风疹,隐疹
B,二尖瓣型P波心电图的特点,P波高而尖,P波增宽，时间>0.11s,V1导联Ptf≥-0.04mm.s,P-R间期>0.20s,P波低平
C,据《素问·六节藏象论》，五脏中其充在发的是,肺,心,肾,肝,脾
B,浸淫四窜，黄水淋漓，其痒成因多为（   ）,风,湿,热,虫淫,血虚
C,臁疮若见下列哪种表现则提示发生癌变,溃疡多年不愈,伴有静脉曲张,创面呈菜花状,创面渗出增多,创面肉色灰白
D,肾虚精亏而遗精滑泄者，可用,六味地黄丸,知柏地黄丸,桑螵蛸散,金锁固精丸,大补阴丸
B,大柴胡汤的主治病证是,太阳少阳合病,少阳阳明合病,太阳少阴合病,太阳阳明合病,阳明厥阴合病
E,睾丸扭转的临床特点为：,青少年，初起附睾结块，疼痛，压痛明显，与阴囊皮肤无粘连,青少年，初起附睾结块，较硬，不痛或微痛，不红不热，输精管有串珠样改变,青壮年，有痄腮史，或发病在流行季节和地区，睾丸肿大，早期能触及睾丸并能与附睾分开,任何年龄，初为睾丸内实质性肿块，有痛或无痛，质地坚硬，有沉重感，肿块部位在睾丸内而附睾正常,青少年，突发阴囊内剧痛，睾丸附睾触痛明显，肿胀致睾丸附睾界限不清，睾丸常向上收缩，抬高睾丸疼痛加剧
D,收口期常用的掺药是(　　)。,生肌白玉膏,青黛膏,太乙膏,生肌散,九一丹
B,保和丸中配伍连翘的用意是,清热解毒,清热散结,清热利湿,清热泻火,消痈散结
D,牛膝在天麻钩藤饮中的主要作用是,活血祛瘀,补肝肾，强筋骨,利尿通淋,引血下行,排脓止痛
D,血栓性浅静脉炎瘀阻脉络者，方用：,桃红四物汤,五味消毒饮合三妙丸,阳和汤、独活寄生汤加减,活血通脉汤,以上都不是
E,箍围药根据病情，需要进行调制，欲取其散瘀解毒，可用(　　)。,葱、姜、蒜、韭捣汁调,鸡子清、蜂蜜调,菊花汁、银花露调,酒调,醋调
A,"《素问·调经论》""阳盛则外热""实指现在临床上的",外感表热,内伤发热,阴虚潮热,壮热神昏,往来寒热
B,肝在五轮学说中为,水轮,风轮,气轮,血轮,肉轮
C,下列不符合主诉要求的是,反复咳嗽、咳痰、喘息20年，加重半个月,活动后心慌气短2年，下肢水肿半个月,反复发作的右侧头痛,上腹部疼痛反复发作3年，2小时前呕血约200mL,尿急、尿频、尿痛2天
C,乳腺导管内乳头状瘤的多发年龄为（   ）,25～30岁,50～70岁,40～50岁,10岁左右,20～45岁
A,应激的中介机制不包括,应激源,认知评价,应对方式,社会支持,人格特征
